Base Aérea Los Cóndores | ISCONTAINEDIN | Alto Hospicio
Casa De Seguridad Dina/Cni “Carrera Pinto” | ISRELATEDTO | Dina
Casa De Seguridad Dina/Cni “Carrera Pinto” | ISRELATEDTO | Cni
Comisaría De Carabineros Carlos Dittborn | ISRELATEDTO | Dina
Comisaría De Carabineros De Arica | ISRELATEDTO | Dina
Comisaría De Carabineros Nº 3 | ISRELATEDTO | Dina
Cuartel De Investigaciones | ISRELATEDTO | Dina
Industria Abandonada – Frente A La Ex Citroen (Nun & Germán) | ISRELATEDTO | Dina
Avenida Santa María 2936 | ISRELATEDTO | Dina
Loteo Tarapacá Oriente, 7, Manzana Ll | ISRELATEDTO | Dina
Prefectura De Carabineros | ISRELATEDTO | Dina
Recinto Cni, Calle Azola | ISRELATEDTO | Cni
Recinto Cni, Camino A Azapa S/N, Parcela Nº 35 Población San Miguel De Azapa | ISRELATEDTO | Cni
Recinto Dina En Calle Diego Portales S/N | ISRELATEDTO | Dina
Regimiento Motorizado Reforzado Nº 4 “Rancagua” De Arica | ISRELATEDTO | Dina
Cárcel Pública De Arica | ISCONTAINEDIN | Arica
Cárcel Pública De Arica | ISCONTAINEDIN | Población El Morro
Cárcel Pública De Arica | ISRELATEDTO | Calle Colón
Cárcel Pública De Arica | ISRELATEDTO | Patricio Lynch
Presos Políticos | ISPARTOF | Cárcel Pública De Arica
Presos Políticos | ISRELATEDTO | Informe Valech
Decreto De Ley N°4 Del 11 De Septiembre De 1973 | ISRELATEDTO | Arica
Luis Pino Soto | ISRELATEDTO | Dictadura
Armagedón | ISRELATEDTO | Iglesia Del Carmen
Pilo Durana | ISRELATEDTO | Armagedón
Pilo Durana | ISRELATEDTO | Bolsonaro
Dina | ISRELATEDTO | Campamento/Camping Las Machas, Arica (I Región)
Cni | ISRELATEDTO | Casa De Seguridad De La Dina/Cni “Carrera Pinto”, Arica (I Región)
Dictadura | ISRELATEDTO | Arica
Sebastián Piñera | ISRELATEDTO | Dictadura
Cárcel Pública De Iquique | ISCONTAINEDIN | Iquique
11 De Septiembre 1973 | ISRELATEDTO | Dictadura En Arica
Arica | OCCURSAT | Dictadura En Arica
Informe Valech | ISRELATEDTO | Dictadura En Arica
Desaparición De Luis Pino Soto | ISRELATEDTO | Dictadura En Arica
Luis Pino Soto | ISRELATEDTO | Desaparición De Luis Pino Soto
Joven En Iglesia Del Carmen | ISRELATEDTO | Dictadura En Arica
Senator Udi Pilo Durana | ISRELATEDTO | Dictadura En Arica
Carcel Publica De Pisagua | ISCONTAINEDIN | Videla Iquique I Region
Carcel Publica De Pisagua | ISRELATEDTO | Gendarmeria
Carcel Publica De Pisagua | ISCONTAINEDIN | Puerto De Pisagua
Puerto De Pisagua | ISCONTAINEDIN | Comuna De Huara
Comuna De Huara | ISCONTAINEDIN | Region De Tarapaca
Carcel Publica De Pisagua | ISRELATEDTO | Régimen Militar
Carcel Publica De Pisagua | ISRELATEDTO | Dictadura De Pinochet
Carcel Publica De Pisagua | ISRELATEDTO | Manifestaciones Pro Democracia 1980S
Carcel Publica De Pisagua | ISRELATEDTO | Decreto 466 Exento
Carcel Publica De Pisagua | ISRELATEDTO | Estado De Chile
Carcel Publica De Pisagua | ISRELATEDTO | Corporacion De Derechos Humanos Y Sitios De La Memoria De Tarapaca
Dolor | ISRELATEDTO | Personas
Personas | ISRELATEDTO | Agentes
Personas | WASPRESENTAT | Interrogatorios
Personas | ISRELATEDTO | Secuelas
Personas | WASPRESENTAT | Golpes
Personas | ISRELATEDTO | Heridas
Personas | ISRELATEDTO | Quemaduras
Personas | WASPRESENTAT | Colgamientos
Personas | WASPRESENTAT | Violencia
Comisión | ISRELATEDTO | Secuelas
Comisión | ISRELATEDTO | Heridas
Comisión | ISRELATEDTO | Quemaduras
Comisión | ISRELATEDTO | Colgamientos
Agentes | ISRELATEDTO | Personas
Dina Villa Grimaldi | ISCONTAINEDIN | Región Metropolitana
Cuartel General De Investigaciones (General Mackenna) | ISCONTAINEDIN | Región Metropolitana
Fiscalía Militar De Osorno | ISCONTAINEDIN | Osorno, X Región
Escuela De Artillería De Linares | ISCONTAINEDIN | Vii Región
Comisaría De Curanilahue | ISCONTAINEDIN | Viii Región
Dina De Londres 38 | ISCONTAINEDIN | Región Metropolitana
Cuartel De La Cni En Valdivia | ISCONTAINEDIN | X Región
Cuartel De La Cni De Calle Borgoño, Santiago | ISCONTAINEDIN | Santiago, Región Metropolitana
Fuerte Müller De Infantería De Marina De Las Salinas | ISCONTAINEDIN | V Región
Hombre, Detenido En Septiembre De 1973 | ISCONTAINEDIN | Comisaría De Puerto Aysén, Xi Región
Hombre, Detenido En Septiembre De 1973 | WASPRESENTAT | Simulacro De Fusilamiento
Hombre, Detenido En Noviembre De 1974 | ISCONTAINEDIN | Comisaría De Collipulli, Ix Región
Mujer, Detenida En Mayo De 1975 | ISCONTAINEDIN | Cuartel De La Dina En Villa Grimaldi, Región Metropolitana
Hombre, Detenido En Agosto De 1974 | ISCONTAINEDIN | Primera Comisaría De Carabineros De Calama, Ii Región
Hombre, Detenido En Julio De 1980 | ISCONTAINEDIN | Cuartel Borgoño, Región Metropolitana
Hombre, Detenido En Septiembre De 1974 | ISCONTAINEDIN | Estadio Fiscal De Punta Arenas, Xii Región
Hombre, Detenido En Mayo De 1976 | ISCONTAINEDIN | Ex Iglesia La Providencia, Antofagasta, Ii Región
Hombre, Detenido En Noviembre De 1973 | ISCONTAINEDIN | Campo De Prisioneros Chacabuco, Ii Región
Mujer, Detenida En Febrero De 1975 | ISCONTAINEDIN | Cuartel Silva Palma De La Armada, Valparaíso
Mujer, Detenida En Enero De 1975 | ISCONTAINEDIN | Dina Villa Grimaldi, Región Metropolitana
Comisión | ISRELATEDTO | Numerous Testimonies
Mujer Septiembre 1973 | ISRELATEDTO | Regimiento De Ingenieros De Tejas Verdes
Mujer Septiembre 1973 | ISRELATEDTO | Estadio Nacional
Mujer Septiembre 1973 | ISCONTAINEDIN | Región Metropolitana
Mujer Octubre 1973 | ISRELATEDTO | Regimiento Arica
Mujer Octubre 1973 | ISRELATEDTO | La Serena
Mujer Octubre 1973 | ISCONTAINEDIN | Iv Región
Hombre Junio 1975 | ISRELATEDTO | Dina De La Ex Iglesia Divina Providencia
Dina De La Ex Iglesia Divina Providencia | ISCONTAINEDIN | Antofagasta
Dina De La Ex Iglesia Divina Providencia | ISCONTAINEDIN | Ii Región
Hombre Diciembre 1975 | ISRELATEDTO | Dina De Villa Grimaldi
Dina De Villa Grimaldi | ISCONTAINEDIN | Región Metropolitana
Mujer Enero 1979 | ISRELATEDTO | Comisaría De Vallenar
Comisaría De Vallenar | ISCONTAINEDIN | Iii Región
Hombre Diciembre 1973 | ISRELATEDTO | Regimiento Rancagua
Regimiento Rancagua | ISCONTAINEDIN | Arica
Regimiento Rancagua | ISCONTAINEDIN | I Región
Hombre Agosto 1974 | ISRELATEDTO | Fiscalía Militar De Calama
Hombre Mayo 1980 | ISRELATEDTO | Cuartel De La Cni De Talca
Cuartel De La Cni De Talca | ISCONTAINEDIN | Vii Región
Mujer Septiembre 1973 | ISRELATEDTO | Estadio Nacional
Estadio Nacional | ISCONTAINEDIN | Región Metropolitana
Hombre Octubre 1973 | ISRELATEDTO | Recinto Militar De Cerro Chena
Recinto Militar De Cerro Chena | ISCONTAINEDIN | Región Metropolitana
Hombre Septiembre 1973 | ISRELATEDTO | Isla Quiriquina
Isla Quiriquina | ISCONTAINEDIN | Viii Región
Hombre Septiembre 1973 | ISRELATEDTO | Base Aérea Cerro Moreno
Jaula De Alambre De Púa | ISCONTAINEDIN | Recintos De Detención
Testimonios | ISRELATEDTO | Comisión Nacional Sobre Prisión Política Y Tortura
Testimonios | ISRELATEDTO | Comisaría De Chol-Chol, Ix Región
Testimonios | ISRELATEDTO | Regimiento Arica, La Serena, Iv Región
Sueño | ISRELATEDTO | Comisión Nacional Sobre Prisión Política Y Tortura
Asfixia | ISRELATEDTO | Comisión Nacional Sobre Prisión Política Y Tortura
Asfixia | ISRELATEDTO | Estadio Regional De Concepción, Viii Región
Asfixia | ISRELATEDTO | Fuerte Borgoño, Viii Región
Temperaturas Extremas | ISRELATEDTO | Comisión Nacional Sobre Prisión Política Y Tortura
Temperaturas Extremas | ISRELATEDTO | Campo De Prisioneros Chacabuco, Ii Región
Temperaturas Extremas | ISRELATEDTO | Grupo De Instrucción De Carabineros, Antofagasta, Ii Región
Temperaturas Extremas | ISRELATEDTO | Hombre, Detenido En Junio De 1974
