Base Aérea Los Cóndores | ISPARTOF | Alto Hospicio
Hombre Detenido En Octubre De 1973 | WASPRESENTAT | Fuerte Müller De Infantería De Marina De Las Salinas
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Diciembre De 1983
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Septiembre De 1973
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Octubre De 1973
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Abril De 1974
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Agosto De 1984
Comisión De Tortura | ISRELATEDTO | Hombre Detenido En Octubre De 1985
Infantes | ISRELATEDTO | Comandos Entrenados En Panamá
Hombre | WASPRESENTAT | Agosto De 1974
Hombre | ISCONTAINEDIN | Primera Comisaría De Carabineros De Calama
Primera Comisaría De Carabineros De Calama | ISPARTOF | Calama
Mujer | WASPRESENTAT | Enero De 1975
Mujer | ISCONTAINEDIN | Dina Villa Grimaldi
Hombre | ISRELATEDTO | Simulacro De Fusilamiento
Simulacro De Fusilamiento | OCCURSAT | 11 De Septiembre De 1973
Hombre | ISCONTAINEDIN | Xi Región
Hombre | ISCONTAINEDIN | Campo De Prisioneros Chacabuco
Campo De Prisioneros Chacabuco | ISPARTOF | Ii Región
Hombre Detenido En Julio De 1980 | ISCONTAINEDIN | Iglesia La Providencia
Iglesia La Providencia | ISPARTOF | Antofagasta
Hombre | WASPRESENTAT | Fusilamiento
Comisión | ISRELATEDTO | Personas
Comisión | ISRELATEDTO | Mujeres Detenidas
Comisión | ISRELATEDTO | Varones
Mujeres Detenidas | ISRELATEDTO | Victimas De Tortura
Varones | ISRELATEDTO | Victimas De Tortura
Menores De Edad | ISRELATEDTO | Victimas De Tortura
Hombre Detenido Junio 1975 | ISRELATEDTO | Hombre Detenido Diciembre 1975
Hombre Detenido Diciembre 1975 | ISRELATEDTO | Mujer Detenida Enero 1979
Mujer Detenida Enero 1979 | ISRELATEDTO | Mujer Detenida Septiembre 1973
Hombre Detenido Diciembre 1973 | ISRELATEDTO | Hombre Detenido Agosto 1974
Hombre Detenido Mayo 1980 | ISRELATEDTO | Hombre Detenido Octubre 1973
Hombre Detenido Septiembre 1973 Isla Quiriquina | ISRELATEDTO | Hombre Detenido Septiembre 1973 Base Aérea Cerro Moreno
Jaula_De_Alambre_De_Púa | ISCONTAINEDIN | Desierto
Comisión_Nacional_Sobre_Prisión_Política_Y_Tortura | ISRELATEDTO | Hombre_Detenido_Septiembre_1973_1
Calabozo | ISCONTAINEDIN | Hombre_Detenido_Septiembre_1973_2
Regimiento_Arica | ISCONTAINEDIN | Hombre_Detenido_Mayo_1974
Destacamento_De_Infantería_De_Marina_N°_4_Cochrane | ISCONTAINEDIN | Hombre_Detenido_Septiembre_1973_3
Comisaría_De_Salamanca | ISCONTAINEDIN | Hombre_Detenido_Septiembre_1973_4
Retén_De_Carabineros_De_Valdivia | ISCONTAINEDIN | Hombre_Detenido_Septiembre_1973_1
Estadio_Regional_De_Concepción | ISCONTAINEDIN | Hombre_Detenido_Noviembre_1973
Fuerte_Borgoño | ISCONTAINEDIN | Hombre_Detenido_Septiembre_1973_2
Campo_De_Prisioneros_Chacabuco | ISCONTAINEDIN | Hombre_Detenido_Enero_1974
Grupo_De_Instrucción_De_Carabineros | ISCONTAINEDIN | Hombre_Detenido_Junio_1974
